resp,dt,weight
22,23/01/2015,1.063803595
24,23/01/2015,12.85300544
25,23/01/2015,0.693745975
26,23/01/2015,0.698563956
27,23/01/2015,7.083917983
28,23/01/2015,9.876460112
29,23/01/2015,3.6062505
23,23/01/2015,15.29084039
1,24/01/2015,2.340796355
2,24/01/2015,4.172475243
3,24/01/2015,1.751485759
4,24/01/2015,3.424286199
5,24/01/2015,5.138088163
6,24/01/2015,1.946938978
7,24/01/2015,3.709886468
8,24/01/2015,0.665436618
9,24/01/2015,1.249564941
10,24/01/2015,1.249305589
11,24/01/2015,3.592925883
12,24/01/2015,1.189342536
13,24/01/2015,5.542203651
14,24/01/2015,15.5002023
15,24/01/2015,3.138745935
16,24/01/2015,1.192077851
17,24/01/2015,1.597183433
18,24/01/2015,2.874490086
19,24/01/2015,0.779313199
20,24/01/2015,0.79816662
21,24/01/2015,7.21322706
22,24/01/2015,2.616631336
24,24/01/2015,9.943953993
25,24/01/2015,0.665436618
26,24/01/2015,0.79816662
27,24/01/2015,6.241491288
28,24/01/2015,5.430513425
29,24/01/2015,2.328573129
23,24/01/2015,15.29084039
1,25/01/2015,3.304750222
2,25/01/2015,4.172224916
3,25/01/2015,2.240980226
4,25/01/2015,2.907468986
5,25/01/2015,5.762666061
6,25/01/2015,1.827470015
7,25/01/2015,3.499753668
8,25/01/2015,0.882892233
9,25/01/2015,1.117865968
10,25/01/2015,1.150141498
11,25/01/2015,2.736926023
12,25/01/2015,1.624913568
13,25/01/2015,2.985397437
14,25/01/2015,13.8292098
15,25/01/2015,2.959028696
16,25/01/2015,1.395117332
17,25/01/2015,1.535823122
18,25/01/2015,4.254508095
19,25/01/2015,0.992950711
20,25/01/2015,1.240482778
21,25/01/2015,4.876926353
22,25/01/2015,1.562267116
24,25/01/2015,12.12042795
25,25/01/2015,0.882892233
26,25/01/2015,1.240482778
27,25/01/2015,4.123423074
28,25/01/2015,6.815720209
29,25/01/2015,2.948347733
23,25/01/2015,15.29084039
1,26/01/2015,2.129912843
2,26/01/2015,4.153882535
3,26/01/2015,1.593513205
4,26/01/2015,3.412756658
5,26/01/2015,5.89831926
6,26/01/2015,1.825489584
7,26/01/2015,4.315333515
8,26/01/2015,0.587147941
9,26/01/2015,1.596525759
10,26/01/2015,1.154609168
11,26/01/2015,3.957919468
12,26/01/2015,1.436488737
13,26/01/2015,3.29517275
14,26/01/2015,14.70573831
15,26/01/2015,3.752691045
16,26/01/2015,0.726750786
17,26/01/2015,3.382101984
18,26/01/2015,3.853884005
19,26/01/2015,0.58517892
20,26/01/2015,0.698112929
21,26/01/2015,5.380514518
22,26/01/2015,2.012574445
24,26/01/2015,12.95742477
25,26/01/2015,0.587147941
26,26/01/2015,0.698112929
27,26/01/2015,4.678991457
28,26/01/2015,6.782656626
29,26/01/2015,1.558288704
23,26/01/2015,15.29084039
1,27/01/2015,3.369048139
2,27/01/2015,4.054398513
3,27/01/2015,2.297152152
4,27/01/2015,2.841484443
5,27/01/2015,6.196183109
6,27/01/2015,1.401198801
7,27/01/2015,3.194353954
8,27/01/2015,0.593072102
9,27/01/2015,2.174033729
10,27/01/2015,0.961568466
11,27/01/2015,2.180916945
12,27/01/2015,1.630442697
13,27/01/2015,1.688929458
14,27/01/2015,13.88579921
15,27/01/2015,3.971560294
16,27/01/2015,0.694496695
17,27/01/2015,2.37530314
18,27/01/2015,0.974467913
19,27/01/2015,0.756631503
20,27/01/2015,0.644989022
21,27/01/2015,8.482525768
22,27/01/2015,1.27728323
24,27/01/2015,16.50456496
25,27/01/2015,0.593072102
26,27/01/2015,0.644989022
27,27/01/2015,2.220949441
28,27/01/2015,4.983633773
29,27/01/2015,2.091862746
23,27/01/2015,15.29084039
1,28/01/2015,2.994746524
2,28/01/2015,4.538428081
3,28/01/2015,2.226771997
4,28/01/2015,2.59973747
5,28/01/2015,6.24826541
6,28/01/2015,1.779843703
7,28/01/2015,3.836996326
8,28/01/2015,0.882029806
9,28/01/2015,1.226627477
10,28/01/2015,1.085077618
11,28/01/2015,2.810595263
12,28/01/2015,1.613953846
13,28/01/2015,3.398509514
14,28/01/2015,13.41185166
15,28/01/2015,3.380044677
16,28/01/2015,1.354173802
17,28/01/2015,1.695417254
18,28/01/2015,4.45649696
19,28/01/2015,0.972689027
20,28/01/2015,1.227958394
